regulator,coordinate,pressure_derivative,lapse_term,angular_term,material_exchange,active,absolute_residual,relative_residual
4.0,-12.74925700929986,0.0006846219586400586,-1.5362133684468145e-05,-0.00029485427870475285,-0.0004022266281782837,True,2.7821081927446086e-05,0.019913949560848375
4.0,-12.499918794546613,0.0017907359528081112,-2.3039851165177895e-05,-0.00048370916444568393,-0.0012776459809870995,True,6.340956210149767e-06,0.0017736290781749338
4.0,-12.24982145495492,0.004934433110259301,-2.884850046731153e-05,-0.0006724069109670425,-0.004070987757168676,True,0.00016218994165627127,0.016709112058209147
4.0,-12.000702148068603,0.010490300421887836,-2.5879007597106738e-05,-0.0006800777401317422,-0.009698293290987646,True,8.605038317134259e-05,0.0041183170383869445
4.0,-11.74958653857889,0.014683064831175647,-1.1409287605716676e-05,-0.0003581584675547227,-0.014607363050867003,True,0.0002938659748517973,0.009907822591962748
4.0,-11.500559728300562,0.012906350175977974,4.485910190006797e-06,0.00010502749502770509,-0.013135399523952287,True,0.00011953594275660069,0.004570943371873674
4.0,-11.24885168331722,0.007097366294431387,1.0692653260557362e-05,0.0003703912788020566,-0.007314711353496787,True,0.00016373887299721366,0.011068551648802827
4.0,-10.99940556590805,0.0024844224533675965,8.340715499656081e-06,0.00036634211008624613,-0.0027789628222339596,True,8.014245671953898e-05,0.014214524422409837
4.0,-10.750227745496456,0.0005158438017222088,4.331947979710799e-06,0.0002532281287500394,-0.0007872487586007425,True,1.3844880148783552e-05,0.008871211837971621
4.0,-10.499220296202598,5.2342337430151914e-06,1.7664902857738736e-06,0.0001496197552819935,-0.000176927581552522,True,2.0307102241739415e-05,0.06088208754438455
4.0,-10.249062390737013,-6.012143502610544e-05,6.042465662999061e-07,8.534604356074845e-05,-3.385583256135776e-05,True,8.026977460414842e-06,0.044612273752701805
4.0,-10.000017145577033,-4.668605479601205e-05,1.5017385262684938e-07,5.03079924178966e-05,-5.764620119615614e-06,True,1.992508645104212e-06,0.019361880108046077
4.0,-9.749861765041912,-3.0756479393221776e-05,-1.585749217752039e-08,3.13245074415491e-05,-8.862184613473256e-07,True,3.340479051975245e-07,0.005303773592598315
4.0,-9.498775084755012,-2.0473933718624095e-05,-6.968143544847086e-08,2.065170024223611e-05,-1.258818384349786e-07,True,1.779675027143351e-08,0.00043069299687351905
4.0,-9.249385646838569,-1.4249550336999471e-05,-8.01425299250784e-08,1.4364629999892994e-05,-1.7155751331808992e-08,True,1.778138163663585e-08,0.0006193126405338012
4.0,-8.999365149928167,-1.0333997149951042e-05,-7.44724838691516e-08,1.042314437358936e-05,-2.2384887750641183e-09,True,1.2436250994103629e-08,0.0005969251724509965
4.0,-8.748821994205574,-7.782392858937421e-06,-6.34967565860906e-08,7.855817214138847e-06,-2.822922888962029e-10,True,9.645306326438563e-09,0.0006142728957157729
4.0,-8.500333215677239,-6.099816292528549e-06,-5.1843432109892845e-08,6.15522099121155e-06,-3.543433688233794e-11,True,3.525832236226242e-09,0.0002864919361762861
4.0,-8.24900351437937,-4.956853609559135e-06,-4.1087910007059115e-08,4.999584998518591e-06,-4.278411604493476e-12,True,1.6392005407930762e-09,0.00016396053927311032
4.0,-7.999871121411772,-4.217545357623897e-06,-3.204221001907705e-08,4.252275829053151e-06,-5.213140750883773e-13,True,2.687740096101117e-09,0.0003161353936055664
4.0,-7.750500662073554,-3.8032512588023673e-06,-2.470175766409076e-08,3.828971449208336e-06,-6.30718171756029e-14,True,1.0183696700613115e-09,0.00013299983122962974
4.0,-7.500936224629165,-3.726678733442301e-06,-1.8926833130734266e-08,3.7302822554302176e-06,-7.607884382053104e-15,True,1.532331875070224e-08,0.0020496988585099315
4.0,-7.25121639427285,-3.931551488616557e-06,-1.409046936630384e-08,3.932289757244037e-06,-9.17893674656599e-16,True,1.3352201656718146e-08,0.0016948866958766031
4.0,-6.9988768450510985,-3.84761051562612e-06,-8.576715290147428e-09,3.907399751296397e-06,-1.0861059583233591e-16,True,5.1212520271518445e-08,0.006596502414172238
4.0,-6.7489464701924256,-2.9264250722659886e-06,-3.1301653453937537e-09,2.91914596410107e-06,-1.3163662845205376e-17,True,1.0409273523476035e-08,0.0017797581316694473
4.0,-6.498958918672027,-1.3939644734647211e-06,-5.014440227765922e-10,1.4279272242913814e-06,-1.6037863784283194e-18,False,3.346130680227983e-08,0.011855650549508863
4.0,-6.24896004263306,1.5152179709462507e-07,1.250109428412008e-12,-1.635295897004806e-07,-1.9676422043171948e-19,False,1.2006542496623891e-08,0.03810963975602135
4.0,-5.998961166594063,7.660764039526669e-07,3.252565223601905e-12,-7.840528908145402e-07,-2.434815255674548e-20,False,1.7973234296674e-08,0.011594643521035175
