lambda1,lambda2,nodes,energy,pressure,opacity_scaling_derivative,effective_exponent,minimum_dec_holding_energy,zero_wall_mass_held_energy_floor,zero_wall_mass_released_energy,virial_identity_error,measured_mass_025_released_energy,measured_mass_025_held_floor,measured_mass_1_released_energy,measured_mass_1_held_floor,released_zero_energy_mass_per_wall
0.001,100.0,256,-3.102445208630546e-06,-6.147509554635104e-06,3.15982607125652e-06,1.9815046330338526,6.147509554635104e-06,3.0450643460045582e-06,-3.102445208630546e-06,-1.3552527156068805e-20,0.4999968975547914,0.500003045064346,1.9999968975547913,2.000003045064346,1.551222604315273e-06
0.001,100.0,512,-3.102445208630528e-06,-6.147509554635081e-06,3.1598260712565024e-06,1.9815046330338566,6.147509554635081e-06,3.045064346004553e-06,-3.102445208630528e-06,-1.6940658945086007e-21,0.4999968975547914,0.500003045064346,1.9999968975547913,2.000003045064346,1.551222604315264e-06
0.001,1000.0,128,-3.15760905922385e-06,-6.31128294156858e-06,3.161544236102973e-06,1.9987537479132749,6.31128294156858e-06,3.15367388234473e-06,-3.15760905922385e-06,3.3881317890172014e-21,0.4999968423909408,0.5000031536738824,1.9999968423909407,2.0000031536738825,1.578804529611925e-06
0.001,1000.0,256,-3.157609059223868e-06,-6.311282941568598e-06,3.16154423610299e-06,1.998753747913269,6.311282941568598e-06,3.15367388234473e-06,-3.157609059223868e-06,-1.6940658945086007e-20,0.4999968423909408,0.5000031536738824,1.9999968423909407,2.0000031536738825,1.578804529611934e-06
0.001,1000.0,512,-3.157609059223851e-06,-6.311282941568575e-06,3.1615442361029735e-06,1.9987537479132726,6.311282941568575e-06,3.153673882344724e-06,-3.157609059223851e-06,-5.082197683525802e-21,0.4999968423909408,0.5000031536738824,1.9999968423909407,2.0000031536738825,1.5788045296119254e-06
0.001,10000.0,128,-3.1632875123777e-06,-6.328301779314909e-06,3.1615607578181942e-06,2.0005458734157906,6.328301779314909e-06,3.165014266937209e-06,-3.1632875123777e-06,3.3881317890172014e-21,0.4999968367124876,0.5000031650142669,1.9999968367124876,2.000003165014267,1.58164375618885e-06
0.001,10000.0,256,-3.1632875123777164e-06,-6.3283017793149224e-06,3.1615607578182116e-06,2.0005458734157844,6.3283017793149224e-06,3.165014266937206e-06,-3.1632875123777164e-06,-1.5246593050577406e-20,0.4999968367124876,0.5000031650142669,1.9999968367124876,2.000003165014267,1.5816437561888582e-06
0.001,10000.0,512,-3.1632875123776986e-06,-6.328301779314898e-06,3.1615607578181934e-06,2.000545873415788,6.328301779314898e-06,3.1650142669371992e-06,-3.1632875123776986e-06,-5.082197683525802e-21,0.4999968367124876,0.5000031650142669,1.9999968367124876,2.000003165014267,1.5816437561888493e-06
0.00125892541179,0.00125892541179,128,-4.948415691604342e-09,-5.005758750566089e-09,9.83948832424694e-09,1.0115881652907692,5.005758750566089e-09,5.7343058961747e-11,-4.948415691604342e-09,3.308722450212111e-24,0.4999999950515843,0.500000000057343,1.9999999950515843,2.000000000057343,2.474207845802171e-09
0.00125892541179,0.00125892541179,256,-4.948415691604377e-09,-5.005758750566114e-09,9.839488324247011e-09,1.011588165290767,5.005758750566114e-09,5.734305896173625e-11,-4.948415691604377e-09,-8.271806125530277e-24,0.4999999950515843,0.500000000057343,1.9999999950515843,2.000000000057343,2.4742078458021887e-09
