s,l,endpoint_speed,timelike_margin,packet_edge_distance
0.47000000000000003,-0.5,-0.0010015769876606413,0.9999989968435378,0.62
0.48,-2.1,1.4062724533359724e-24,1.0,2.23
0.48,-0.5,-0.0008548946521523031,0.9999992691551337,0.63
0.49,-2.1,7.025325079165906e-25,1.0,2.2399999999999998
0.49,-0.5,-0.0007300252756741756,0.9999994670630968,0.64
0.5,-2.1,3.4806602869821435e-25,1.0,2.25
0.5,-0.5,-0.0006237113275382494,0.9999996109841799,0.65
0.51,-2.1,1.7077725703759633e-25,1.0,2.2600000000000002
0.51,-0.5,-0.0005331680707717598,0.9999997157318083,0.66
0.52,-2.1,8.29800772083287e-26,1.0,2.27
0.52,-0.5,-0.0004560227138372288,0.9999997920432845,0.67
0.53,-2.1,3.98774601442343e-26,1.0,2.28
0.53,-0.5,-0.00039025332776275717,0.9999998477023402,0.68
0.54,-2.1,1.890784145098817e-26,1.0,2.29
0.54,-0.5,-0.000334139685033498,0.9999998883506709,0.6900000000000001
0.55,-2.1,8.811963386837523e-27,1.0,2.3000000000000003
0.55,-0.5,-0.00028622126481667057,0.9999999180773875,0.7000000000000001
0.56,-2.1,4.021611672842086e-27,1.0,2.31
0.56,-0.5,-0.00024526078212715635,0.9999999398471487,0.7100000000000001
0.5700000000000001,-2.1,1.794211640256404e-27,1.0,2.32
0.5700000000000001,-0.5,-0.00021021254743898763,0.9999999558106849,0.7200000000000001
0.58,-2.1,7.80126898676101e-28,1.0,2.33
0.58,-0.5,-0.00018019169066099084,0.9999999675309547,0.7300000000000001
0.59,-2.1,3.290033376372336e-28,1.0,2.34
0.59,-0.5,-0.0001544496941186497,0.999999976145292,0.7399999999999999
0.6,-2.1,1.3373012551471226e-28,1.0,2.35
0.6,-0.5,-0.00013235381543824927,0.9999999824824676,0.7500000000000001
0.61,-2.1,5.207830122465173e-29,1.0,2.36
0.61,-0.5,-0.00011336951762081079,0.9999999871473525,0.7599999999999999
0.62,-2.1,1.9416107168271927e-29,1.0,2.37
0.62,-0.5,-9.704547158246629e-05,0.9999999905821765,0.7700000000000001
0.63,-2.1,6.924278504666817e-30,1.0,2.38
0.63,-0.5,-8.29996185444224e-05,0.9999999931110634,0.7799999999999999
